Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
444054,Tongaat Hulett Starch,(none),2014-08-27 04:00:00,2014-08-27 04:00:00,"4,742.26",293,2014-08-27 04:00:00,170
444054,Tongaat Hulett Starch,(none),2014-08-27 22:00:00,2014-08-27 21:00:00,"4,669.96",99,2014-08-27 21:58:00,170
444055,Tongaat Hulett Starch,(none),2014-08-27 00:59:00,2014-08-27 00:59:00,"4,170.63",69,2014-08-27 01:14:00,136
444056,Tongaat Hulett Starch,(none),2014-08-27 16:00:00,2014-08-27 16:00:00,"5,856.29",439,2014-08-27 16:11:00,280
444057,Tongaat Hulett Starch,(none),2014-08-27 07:00:00,2014-08-27 07:00:00,"7,412.31",773,2014-08-27 07:10:00,673
444058,Tongaat Hulett Starch,(none),2014-08-27 08:00:00,2014-08-27 03:00:00,"3,897.65",25,2014-08-27 03:42:00,140
444058,Tongaat Hulett Starch,(none),2014-08-27 19:00:00,2014-08-27 20:18:00,"2,366.87",64,2014-08-27 20:28:00,36
444059,Tongaat Hulett Starch,(none),2014-08-27 02:00:00,2014-08-27 02:00:00,"3,083.74",276,2014-08-27 02:45:00,100
444061,Tongaat Hulett Starch,(none),2014-08-27 13:00:00,2014-08-27 11:21:00,"2,520.77",27,2014-08-27 12:01:00,40
444063,Tongaat Hulett Starch,(none),2014-08-27 04:00:00,2014-08-27 03:00:00,"3,324.15",97,2014-08-27 03:10:00,90
444064,Tongaat Hulett Starch,(none),2014-08-27 09:00:00,2014-08-27 09:00:00,"2,282.28",43,2014-08-27 09:09:00,40
444064,Tongaat Hulett Starch,(none),2014-08-27 20:00:00,2014-08-27 19:40:00,"2,311.54",71,2014-08-27 20:06:00,40
444065,Tongaat Hulett Starch,(none),2014-08-26 23:00:00,2014-08-27 00:10:00,"1,648.46",143,2014-08-27 04:45:00,20
