Truck,Date,Income,Contribution,Kms,Blackout Status
104,2015-02-23,"R8,363.75","R2,278.30",428,No
105,2015-02-23,"R7,845.54","R1,648.04",445,No
106,2015-02-23,"R8,363.75","R2,278.30",428,No
107,2015-02-23,"R7,845.54","R1,648.04",445,No
108,2015-02-23,"R7,845.54","R1,648.04",445,No
111,2015-02-23,"R7,845.54","R1,648.04",445,No
116,2015-02-23,"R7,790.25",R991.88,382,Yes
117,2015-02-23,"R7,230.79",R772.79,440,No
119,2015-02-23,"R7,230.79",R772.79,440,No
120,2015-02-23,"R7,790.25",R991.88,382,No
121,2015-02-23,"R7,790.25",R991.88,382,Yes
122,2015-02-23,"R7,230.79",R772.79,440,No
123,2015-02-23,"R7,230.79",R772.79,440,No
124,2015-02-23,"R7,230.79",R772.79,440,No
125,2015-02-23,"R7,048.38",R791.42,321,Yes
126,2015-02-23,"R7,048.38",R791.42,321,No
127,2015-02-23,"R7,230.79",R772.79,440,No
128,2015-02-23,"R7,845.54","R1,648.04",445,No
129,2015-02-23,"R8,363.75","R2,278.30",428,No
131,2015-02-23,"R7,845.54","R1,648.04",445,No
132,2015-02-23,"R7,845.54","R1,648.04",445,No
134,2015-02-23,"R8,363.75","R2,278.30",428,No
135,2015-02-23,"R7,048.38",R791.42,321,Yes
136,2015-02-23,"R7,048.38",R791.42,321,Yes
137,2015-02-23,"R7,048.38",R791.42,321,Yes
138,2015-02-23,"R7,230.79",R772.79,440,No
141,2015-02-23,"R7,845.54","R1,648.04",445,No
142,2015-02-23,"R7,845.54","R1,648.04",445,No
143,2015-02-23,"R7,230.79",R772.79,440,No
144,2015-02-23,"R7,790.25",R991.88,382,No
145,2015-02-23,"R7,230.79",R772.79,440,No
146,2015-02-23,"R7,790.25",R991.88,382,Yes
198,2015-02-23,"R7,048.38",R791.42,321,No
236,2015-02-23,"R7,200.00",R640.62,400,Yes
237,2015-02-23,"R7,200.00",R640.62,400,No
238,2015-02-23,"R7,200.00",R640.62,400,Yes
241,2015-02-23,"R7,063.04",R789.75,452,No
242,2015-02-23,"R7,063.04",R789.75,452,No
244,2015-02-23,"R8,363.75","R2,278.30",428,No
245,2015-02-23,"R7,845.54","R1,648.04",445,No
246,2015-02-23,"R7,063.04",R789.75,452,Yes
247,2015-02-23,"R7,063.04",R789.75,452,No
248,2015-02-23,"R7,063.04",R789.75,452,Yes
249,2015-02-23,"R6,686.13",R742.13,303,No
25,2015-02-23,"R6,686.13",R742.13,303,Yes
250,2015-02-23,"R6,033.21","R1,350.91",173,Yes
252,2015-02-23,"R6,033.21","R1,350.91",173,Yes
253,2015-02-23,"R6,033.21","R1,350.91",173,Yes
254,2015-02-23,"R6,033.21","R1,350.91",173,Yes
255,2015-02-23,"R6,033.21","R1,350.91",173,Yes
256,2015-02-23,"R6,033.21","R1,350.91",173,Yes
257,2015-02-23,"R6,033.21","R1,350.91",173,Yes
258,2015-02-23,"R6,033.21","R1,350.91",173,Yes
259,2015-02-23,"R6,033.21","R1,350.91",173,Yes
260,2015-02-23,"R6,033.21","R1,350.91",173,Yes
261,2015-02-23,"R7,063.04",R789.75,452,No
262,2015-02-23,"R7,063.04",R789.75,452,No
263,2015-02-23,"R7,063.04",R789.75,452,No
264,2015-02-23,"R7,063.04",R789.75,452,No
265,2015-02-23,"R7,063.04",R789.75,452,No
266,2015-02-23,"R7,230.79",R772.79,440,No
267,2015-02-23,"R7,790.25",R991.88,382,Yes
268,2015-02-23,"R7,063.04",R789.75,452,No
269,2015-02-23,"R6,686.13",R742.13,303,No
270,2015-02-23,"R6,686.13",R742.13,303,Yes
68,2015-02-23,"R7,063.04",R789.75,452,No
83,2015-02-23,"R7,790.25",R991.88,382,Yes
84,2015-02-23,"R7,790.25",R991.88,382,Yes
85,2015-02-23,"R7,790.25",R991.88,382,Yes
86,2015-02-23,"R7,790.25",R991.88,382,No
95,2015-02-23,"R7,063.04",R789.75,452,No
97,2015-02-23,"R7,790.25",R991.88,382,Yes
E39,2015-02-23,"R7,388.13","R1,764.45",386,Yes
E44,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E45,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E46,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E47,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E48,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E49,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E50,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E51,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E52,2015-02-23,"R7,375.00","R1,387.58",417,No
E53,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E54,2015-02-23,"R7,200.00",R640.62,400,Yes
E55,2015-02-23,R0.01,R0.01,0,Yes
E57,2015-02-23,"R7,200.00",R640.62,400,Yes
E64,2015-02-23,"R7,375.00","R1,387.58",417,No
E65,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E66,2015-02-23,"R7,375.00","R1,387.58",417,No
E67,2015-02-23,"R7,375.00","R1,387.58",417,Yes
