Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
140271,5118,PPC - P.E,40.000,307,2015-08-06,"R13,710.28","R2,301.98",674,Yes
444074,9160,PPC - P.E,40.000,307,2015-08-06,"R10,318.21","R1,732.44",435,Yes
444075,9162,PPC - P.E,40.000,307,2015-08-06,"R10,318.21","R1,732.44",435,Yes
444076,9161,PPC - P.E,40.000,307,2015-08-06,"R9,408.04","R1,579.62",435,Yes
444077,9163,PPC - P.E,40.000,307,2015-08-06,"R9,408.04","R1,579.62",435,Yes
B40-1,"",PPC - P.E,40.000,307,2015-08-06,"R6,372.05","R1,069.88",235,Yes
B40-2,"",PPC - P.E,40.000,307,2015-08-06,"R6,372.05","R1,069.88",235,Yes
B40-4,"",PPC - P.E,40.000,307,2015-08-06,"R6,372.05","R1,069.88",235,Yes
D553,9727,PPC - P.E,40.000,307,2015-08-06,"R13,710.28","R2,301.98",674,Yes
D554,9716,PPC - P.E,40.000,307,2015-08-06,"R13,710.28","R2,301.98",674,Yes
D555,9726,PPC - P.E,40.000,307,2015-08-06,"R13,710.28","R2,301.98",674,No
D556,9728,PPC - P.E,40.000,307,2015-08-06,"R10,389.49","R1,744.41",435,No
D557,9725,PPC - P.E,40.000,307,2015-08-06,"R10,389.49","R1,744.41",435,No
D558,9734,PPC - P.E,40.000,307,2015-08-06,"R9,408.04","R1,579.62",435,Yes
D559,9733,PPC - P.E,40.000,307,2015-08-06,"R7,737.16","R1,299.08",174,Yes
D571,286,PPC - P.E,40.000,307,2015-08-06,"R5,326.52",R894.33,212,Yes
