Truck,Date,Income,Contribution,Kms,Blackout Status
E100,2015-02-23,"R7,375.00","R1,387.58",417,No
E101,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E102,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E103,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E104,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E105,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E106,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E107,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E108,2015-02-23,"R9,072.92","R1,892.94",542,No
E109,2015-02-23,"R9,072.92","R1,892.94",542,No
E110,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E111,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E112,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E113,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E114,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E115,2015-02-23,"R9,072.92","R1,892.94",542,No
E116,2015-02-23,"R9,072.92","R1,892.94",542,No
E117,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E21,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E22,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E23,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E24,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E25,2015-02-23,"R7,375.00","R1,387.58",417,No
E27,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E28,2015-02-23,"R7,375.00","R1,387.58",417,No
E29,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E30,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E31,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E32,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E33,2015-02-23,"R7,375.00","R1,387.58",417,No
E36,2015-02-23,"R7,375.00","R1,387.58",417,No
E37,2015-02-23,"R7,375.00","R1,387.58",417,No
E38,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E44,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E45,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E46,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E47,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E48,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E49,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E50,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E51,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E52,2015-02-23,"R7,375.00","R1,387.58",417,No
E53,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E59,2015-02-23,"R7,375.00","R1,387.58",417,No
E64,2015-02-23,"R7,375.00","R1,387.58",417,No
E65,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E66,2015-02-23,"R7,375.00","R1,387.58",417,No
E67,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E68,2015-02-23,"R9,072.92","R1,892.94",542,No
E69,2015-02-23,"R9,072.92","R1,892.94",542,No
E70,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E71,2015-02-23,"R9,072.92","R1,892.94",542,No
E72,2015-02-23,"R9,072.92","R1,892.94",542,No
E73,2015-02-23,"R9,072.92","R1,892.94",542,No
E74,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E75,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E76,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E93,2015-02-23,"R7,375.00","R1,387.58",417,No
E98,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E99,2015-02-23,"R7,375.00","R1,387.58",417,Yes
