Truck,Date,Income,Contribution,Kms,Blackout Status
125,2015-02-23,"R7,048.38",R791.42,321,Yes
126,2015-02-23,"R7,048.38",R791.42,321,No
135,2015-02-23,"R7,048.38",R791.42,321,Yes
136,2015-02-23,"R7,048.38",R791.42,321,Yes
137,2015-02-23,"R7,048.38",R791.42,321,Yes
165,2015-02-23,"R7,048.38",R791.42,321,Yes
281,2015-02-23,"R7,082.08",R723.00,321,No
313,2015-02-23,"R7,048.38",R791.42,321,No
314,2015-02-23,"R7,048.38",R791.42,321,Yes
315,2015-02-23,"R7,048.38",R791.42,321,No
317,2015-02-23,"R7,048.38",R791.42,321,Yes
318,2015-02-23,"R7,048.38",R791.42,321,No
319,2015-02-23,"R7,048.38",R791.42,321,No
320,2015-02-23,"R7,048.38",R791.42,321,Yes
321,2015-02-23,"R7,048.38",R791.42,321,No
322,2015-02-23,"R7,048.38",R791.42,321,No
324,2015-02-23,"R7,048.38",R791.42,321,Yes
325,2015-02-23,"R7,048.38",R791.42,321,No
326,2015-02-23,"R7,048.38",R791.42,321,No
327,2015-02-23,"R7,048.38",R791.42,321,Yes
340,2015-02-23,"R7,048.38",R791.42,321,No
341,2015-02-23,"R7,048.38",R791.42,321,No
342,2015-02-23,"R7,048.38",R791.42,321,No
351,2015-02-23,"R7,048.38",R791.42,321,Yes
352,2015-02-23,"R7,048.38",R791.42,321,Yes
353,2015-02-23,"R7,048.38",R791.42,321,No
354,2015-02-23,"R7,048.38",R791.42,321,No
355,2015-02-23,"R7,048.38",R791.42,321,No
356,2015-02-23,"R7,048.38",R791.42,321,Yes
357,2015-02-23,"R7,048.38",R791.42,321,No
358,2015-02-23,"R7,048.38",R791.42,321,Yes
359,2015-02-23,"R7,048.38",R791.42,321,No
360,2015-02-23,"R7,048.38",R791.42,321,Yes
371,2015-02-23,"R7,048.38",R791.42,321,No
373,2015-02-23,"R7,048.38",R791.42,321,No
374,2015-02-23,"R7,048.38",R791.42,321,No
377,2015-02-23,"R7,048.38",R791.42,321,Yes
378,2015-02-23,"R7,048.38",R791.42,321,No
380,2015-02-23,"R7,048.38",R791.42,321,No
381,2015-02-23,"R7,048.38",R791.42,321,No
57,2015-02-23,"R7,048.38",R791.42,321,No
58,2015-02-23,"R7,048.38",R791.42,321,No
