Truck,Date,Income,Contribution,Kms,Blackout Status
D03,2015-03-31,"R2,690.11",R484.22,200,Yes
D04,2015-03-31,"R2,504.78",R450.86,147,Yes
D05,2015-03-31,"R2,445.84",R440.25,130,Yes
D06,2015-03-31,"R2,574.95",R463.49,64,Yes
D13,2015-03-31,"R2,978.44",R536.12,174,Yes
D14,2015-03-31,"R3,289.19",R592.05,250,Yes
D15,2015-03-31,"R3,296.24",R593.32,251,Yes
D16,2015-03-31,"R3,723.78",R670.28,265,Yes
D21,2015-03-31,"R4,274.36",R769.38,238,Yes
D22,2015-03-31,"R4,062.67",R731.28,219,Yes
D24,2015-03-31,"R1,762.89",R317.32,26,Yes
