Truck,Date,Income,Contribution,Kms,Blackout Status
2,2015-02-23,"R2,992.15",R38.21,250,Yes
236,2015-02-23,"R7,200.00",R640.62,400,Yes
237,2015-02-23,"R7,200.00",R640.62,400,No
238,2015-02-23,"R7,200.00",R640.62,400,Yes
4,2015-02-23,"R8,594.21","R1,087.44",356,Yes
D06,2015-02-23,"R2,910.82",R523.95,72,Yes
E49,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E50,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E52,2015-02-23,"R7,375.00","R1,387.58",417,No
E53,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E54,2015-02-23,"R7,200.00",R640.62,400,Yes
E55,2015-02-23,R0.01,R0.01,0,Yes
E57,2015-02-23,"R7,200.00",R640.62,400,Yes
E64,2015-02-23,"R7,375.00","R1,387.58",417,No
E65,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E66,2015-02-23,"R7,375.00","R1,387.58",417,No
E67,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E68,2015-02-23,"R9,072.92","R1,892.94",542,No
E69,2015-02-23,"R9,072.92","R1,892.94",542,No
E70,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E71,2015-02-23,"R9,072.92","R1,892.94",542,No
E72,2015-02-23,"R9,072.92","R1,892.94",542,No
E73,2015-02-23,"R9,072.92","R1,892.94",542,No
E74,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E75,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E76,2015-02-23,"R9,072.92","R1,892.94",542,Yes
E79,2015-02-23,"R8,529.17",R254.83,417,Yes
E80,2015-02-23,"R8,529.17",R254.83,417,No
