Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
156,Hillside Aluminium Ltd,"",2015-08-03 05:59:00,2015-08-03 06:00:00,"1,761.90",132,2015-08-03 08:10:00,223
156,Hillside Aluminium Ltd,"",2015-08-03 11:00:00,2015-08-03 11:45:00,"2,270.45",12,2015-08-03 11:50:00,223
156,Hillside Aluminium Ltd,"",2015-08-03 14:49:00,2015-08-03 15:00:00,"1,848.94",12,2015-08-03 15:05:00,223
156,Hillside Aluminium Ltd,"",2015-08-03 18:00:00,2015-08-03 18:20:00,"1,737.03",23,2015-08-03 18:35:00,223
156,Hillside Aluminium Ltd,"",2015-08-03 21:15:00,2015-08-03 21:15:00,"1,761.90",12,2015-08-03 21:20:00,223
E16,PPC-Kraaifontein F & V,"",2015-08-03 04:00:00,2015-08-03 04:00:00,"10,097.67",457,2015-08-03 04:10:00,21.3
E17,PPC-Kraaifontein F & V,"",2015-08-03 06:00:00,2015-08-03 06:05:00,"7,528.51",541,2015-08-03 06:30:00,226.33
E17,PPC-Kraaifontein F & V,"",2015-08-03 11:00:00,2015-08-03 11:00:00,"2,291.32",52,2015-08-03 11:05:00,50
E17,PPC-Kraaifontein F & V,"",2015-08-03 15:00:00,2015-08-03 15:00:00,"2,419.84",64,2015-08-03 15:10:00,167.5
D571,PPC-PE F & V,"",2015-08-03 13:00:00,2015-08-03 13:30:00,"3,033.33",30,2015-08-03 13:30:00,74.3
D571,PPC-PE F & V,"",2015-08-03 17:00:00,2015-08-03 17:00:00,"2,980.65",26,2015-08-03 17:00:00,0
D572,PPC-PE F & V,"",2015-08-03 17:00:00,(none),"11,777.72",93,(none),93
D573,PPC-PE F & V,"",2015-08-03 16:00:00,(none),"11,777.72",93,(none),93
E39,PPC-Slurry F & V,"",2015-08-03 15:00:00,2015-08-03 15:00:00,"12,023.65",420,2015-08-03 15:06:00,420
E42,Illovo Refined GBD F and V,"",2015-08-03 06:00:00,2015-08-03 06:00:00,"2,203.84",88,2015-08-03 06:20:00,31.5
E42,Illovo Refined GBD F and V,"",2015-08-03 14:58:00,2015-08-03 14:58:00,"2,203.84",155,2015-08-03 15:15:00,31.5
238,Buckman New,"",2015-08-03 10:00:00,(none),0.00,160,(none),160
238,Buckman New,"",2015-08-03 18:00:00,(none),0.00,1300,(none),1300
E54,Buckman New,"",2015-08-03 15:00:00,(none),0.00,1250,(none),1250
E49,Ecosse-Protea Chemicals Mining,"",2015-08-03 07:00:00,2015-08-03 07:10:00,"8,382.42",411,2015-08-03 08:15:00,432
E52,Total SA Bridging CPL,"",2015-08-03 10:00:00,(none),"5,133.60",1440,(none),1440
E53,Total SA Bridging CPL,"",2015-08-03 10:00:00,2015-08-03 11:00:00,"4,064.10",1140,2015-08-03 12:55:00,1140
119,Langeberg and Ashton Foods Pty Ltd F and V,"",2015-08-03 16:00:00,2015-08-03 13:09:00,"9,250.50",177,2015-08-03 15:21:00,0
122,National Brands,"",2015-08-03 18:00:00,2015-08-03 18:00:00,"12,679.79",700,2015-08-03 20:46:00,700
