Cargo,Trip Number,Truck,Planned Loading Arrival,Loading Arrival,Planned Offloading Arrival,Offloading Arrival,Loading Difference (hrs),Offloading Difference (hrs),Planning Difference(hrs),Time Created,Created by,Customer
239158,F11883,E48,2011-09-01 09:00:00,2011-09-01 12:30:00,2011-09-02 08:00:00,2011-09-02 10:30:00,4,3,16,31 August,Cameron Singh,Engen
239163,F10680,E44,2011-08-31 20:00:00,2011-09-01 08:00:00,2011-09-01 12:00:00,2011-09-02 11:00:00,12,23,3,31 August,Cameron Singh,Engen
239164,194772,24,2011-08-31 18:00:00,2011-09-01 05:00:00,2011-09-01 08:00:00,2011-09-01 12:00:00,11,4,2,31 August,Shaun du Preez,Premier Trunking - Isando
239168,192937,169,2011-08-31 18:00:00,2011-09-01 06:10:00,2011-09-01 08:00:00,2011-09-01 11:50:00,12,4,2,31 August,Devon Bezuidenhout,Premier Trunking - Isando
239171,192785,25,2011-09-01 08:00:00,2011-09-01 06:45:00,2011-09-08 10:00:00,2011-09-07 13:30:00,-1,-19,14,31 August,Jaap Saayman,Omnia Fertiliser
239052,195251,211,2011-08-31 19:00:00,2011-09-01 06:00:00,2011-09-02 08:00:00,2011-09-02 05:30:00,11,-1,26,31 August,Mario Dorlly,Sasko
239175,198096,260,2011-09-01 08:00:00,2011-09-01 13:30:00,2011-09-08 11:00:00,2011-09-09 10:50:00,6,24,15,31 August,Zac Bolton,Zambia Sugar
238835,194873,88,2011-09-01 08:00:00,2011-09-01 09:15:00,2011-09-02 08:00:00,2011-09-02 07:36:00,1,0,63,31 August,Mario Dorlly,Rohm & Haas
239108,198054,6,2011-09-01 08:00:00,2011-09-01 07:16:00,2011-09-02 15:00:00,2011-09-02 09:56:00,1,-5,20,31 August,Mario Dorlly,Chep
239173,197868,30,2011-09-01 08:00:00,2011-09-01 08:40:00,2011-09-02 15:00:00,2011-09-02 20:12:00,1,5,15,31 August,Mario Dorlly,LA Logistix
239156,198156,148,2011-09-01 09:00:00,2011-09-01 06:40:00,2011-09-02 09:00:00,2011-09-02 13:30:00,-2,5,16,31 August,Mario Dorlly,Plaaskem (Pty) Ltd
239157,196826,243,2011-09-01 08:00:00,2011-09-01 06:10:00,2011-09-02 08:00:00,2011-09-02 10:50:00,0,3,15,31 August,Mario Dorlly,Plaaskem (Pty) Ltd
239146,191913,DM7,2011-09-01 08:00:00,2011-09-01 05:27:00,2011-09-02 10:00:00,2011-09-02 08:07:00,-1,0,17,31 August,
