Truck,Date,Income,Contribution,Kms,Blackout Status
154,2015-03-31,"R6,166.16",R729.00,422,No
162,2015-03-31,"R6,166.16",R729.00,422,Yes
246,2015-03-31,"R6,166.16",R729.00,422,No
247,2015-03-31,"R6,166.16",R729.00,422,Yes
248,2015-03-31,"R6,166.16",R729.00,422,No
261,2015-03-31,"R6,166.16",R729.00,422,Yes
262,2015-03-31,"R6,166.16",R729.00,422,Yes
263,2015-03-31,"R6,166.16",R729.00,422,Yes
264,2015-03-31,"R6,166.16",R729.00,422,No
265,2015-03-31,"R6,166.16",R729.00,422,Yes
268,2015-03-31,"R6,166.16",R729.00,422,Yes
329,2015-03-31,"R6,166.16",R729.00,422,Yes
330,2015-03-31,"R6,166.16",R729.00,422,Yes
331,2015-03-31,"R6,166.16",R729.00,422,No
333,2015-03-31,"R6,166.16",R729.00,422,No
334,2015-03-31,"R6,166.16",R729.00,422,Yes
335,2015-03-31,"R6,166.16",R729.00,422,Yes
349,2015-03-31,"R6,166.16",R729.00,422,No
350,2015-03-31,"R6,166.16",R729.00,422,No
361,2015-03-31,"R6,166.16",R729.00,422,Yes
362,2015-03-31,"R6,166.16",R729.00,422,No
363,2015-03-31,"R6,166.16",R729.00,422,No
365,2015-03-31,"R6,166.16",R729.00,422,No
366,2015-03-31,"R6,166.16",R729.00,422,No
367,2015-03-31,"R6,166.16",R729.00,422,No
368,2015-03-31,"R6,166.16",R729.00,422,Yes
369,2015-03-31,"R6,166.16",R729.00,422,No
370,2015-03-31,"R6,166.16",R729.00,422,No
372,2015-03-31,"R6,166.16",R729.00,422,Yes
375,2015-03-31,"R6,166.16",R729.00,422,No
376,2015-03-31,"R6,166.16",R729.00,422,No
379,2015-03-31,"R6,166.16",R729.00,422,No
382,2015-03-31,"R6,166.16",R729.00,422,No
383,2015-03-31,"R6,166.16",R729.00,422,Yes
385,2015-03-31,"R6,166.16",R729.00,422,No
68,2015-03-31,"R6,166.16",R729.00,422,Yes
95,2015-03-31,"R6,166.16",R729.00,422,Yes
DM05,2015-03-31,"R6,166.16",R729.00,422,Yes
