Truck,Date,Income,Contribution,Kms,Blackout Status
2,2015-02-23,"R2,992.15",R38.21,250,Yes
236,2015-02-23,"R7,200.00",R640.62,400,Yes
237,2015-02-23,"R7,200.00",R640.62,400,No
238,2015-02-23,"R7,200.00",R640.62,400,Yes
4,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E39,2015-02-23,"R7,388.13","R1,764.45",386,Yes
E44,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E45,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E46,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E47,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E48,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E49,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E50,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E51,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E52,2015-02-23,"R7,375.00","R1,387.58",417,No
E53,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E54,2015-02-23,"R7,200.00",R640.62,400,Yes
E55,2015-02-23,R0.01,R0.01,0,Yes
E57,2015-02-23,"R7,200.00",R640.62,400,Yes
E64,2015-02-23,"R7,375.00","R1,387.58",417,No
E65,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E66,2015-02-23,"R7,375.00","R1,387.58",417,No
E67,2015-02-23,"R7,375.00","R1,387.58",417,Yes
E77,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E78,2015-02-23,R0.01,R0.01,0,Yes
E79,2015-02-23,"R8,529.17",R254.83,417,Yes
E80,2015-02-23,"R8,529.17",R254.83,417,No
