Truck,Date,Income,Contribution,Kms,Blackout Status
T023,2015-03-31,"R9,289.67","R1,672.14",462,Yes
T024,2015-03-31,"R9,289.67","R1,672.14",462,Yes
T038,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T039,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T040,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T041,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T042,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T043,2015-03-31,"R9,668.08","R1,740.26",596,Yes
T044,2015-03-31,"R9,668.08","R1,740.26",596,Yes
T045,2015-03-31,"R9,668.08","R1,740.26",596,Yes
T046,2015-03-31,"R9,668.08","R1,740.26",596,Yes
T048,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T049,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T111,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T112,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T113,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T114,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T116,2015-03-31,"R9,668.08","R1,740.26",596,Yes
