Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
Z06,PPC-Kraaifontein F & V,"",2015-08-03 06:00:00,2015-08-03 06:00:00,"1,426.51",38,2015-08-03 06:05:00,123.11
Z06,PPC-Kraaifontein F & V,"",2015-08-03 09:30:00,2015-08-03 09:30:00,"1,599.98",57,2015-08-03 09:35:00,32.7
Z06,PPC-Kraaifontein F & V,"",2015-08-03 11:30:00,2015-08-03 11:30:00,"1,326.08",27,2015-08-03 11:35:00,123.11
Z06,PPC-Kraaifontein F & V,"",2015-08-03 14:00:00,(none),"6,521.85",123.11,(none),123.11
Z08A,PPC-Kraaifontein F & V,"",2015-08-03 04:00:00,2015-08-03 04:00:00,"4,768.18",289,2015-08-03 04:05:00,116
Z08A,PPC-Kraaifontein F & V,"",2015-08-03 12:00:00,2015-08-03 12:00:00,"6,214.90",317,2015-08-03 12:10:00,100
Z09B,PPC-Kraaifontein F & V,"",2015-08-03 04:00:00,2015-08-03 04:00:00,"11,585.00",554,2015-08-03 04:05:00,100
Z09B,PPC - Kraaifontein,"",2015-08-03 12:00:00,(none),"2,416.00",232,(none),232
Z09B,PPC - Kraaifontein,"",2015-08-03 17:00:00,(none),"7,759.60",860,(none),860
Z11A,PPC-Kraaifontein F & V,"",2015-08-03 04:00:00,2015-08-03 04:00:00,"9,821.48",387,2015-08-03 04:05:00,23.1
Z11B,PPC-Kraaifontein F & V,"",2015-08-03 04:00:00,2015-08-03 04:00:00,"4,257.07",697,2015-08-03 04:05:00,540
Z11B,PPC - Kraaifontein,"",2015-08-03 12:00:00,(none),"2,416.00",232,(none),232
Z11B,PPC-Kraaifontein F & V,"",2015-08-03 18:00:00,(none),"14,315.09",0,(none),0
Z13A,PPC-Kraaifontein F & V,"",2015-08-03 04:00:00,2015-08-03 04:00:00,"6,843.56",270,2015-08-03 04:05:00,410
Z13A,PPC - Kraaifontein,"",2015-08-03 12:00:00,2015-08-03 12:00:00,"2,416.00",118,2015-08-03 12:10:00,232
Z08B,PPC - Kraaifontein,"",2015-08-03 10:00:00,2015-08-03 10:00:00,"4,288.96",416,2015-08-03 10:10:00,172
Z08B,PPC-Kraaifontein F & V,"",2015-08-03 18:00:00,(none),"13,148.55",318,(none),318
Z34,PPC-Kraaifontein F & V,"",2015-08-03 04:00:00,2015-08-03 04:00:00,"10,043.24",408,2015-08-03 04:05:00,260
Z34,PPC - Kraaifontein,"",2015-08-03 12:00:00,(none),"2,416.00",232,(none),232
Z35,PPC-Kraaifontein F & V,"",2015-08-03 04:00:00,2015-08-03 04:00:00,"10,621.48",387,2015-08-03 04:05:00,653
Z35,PPC - Kraaifontein,"",2015-08-03 12:00:00,(none),"2,416.00",232,(none),232
Z36,PPC-Kraaifontein F & V,"",2015-08-03 04:00:00,2015-08-03 04:00:00,"8,814.05",291.6,2015-08-03 04:05:00,291.6
Z36,PPC - Kraaifontein,"",2015-08-03 12:00:00,(none),"2,416.00",232,(none),232
PO2,PPC-PE F & V,"",2015-08-03 07:00:00,2015-08-03 07:00:00,"4,902.70",240,2015-08-03 08:00:00,74.6
PO2,PPC-PE F & V,"",2015-08-03 13:00:00,2015-08-03 13:30:00,"2,299.45",15,2015-08-03 13:30:00,0
545220,PPC-Hercules F & V,"",2015-08-03 02:00:00,2015-08-03 02:12:00,"3,468.24",103,2015-08-03 02:19:00,52
545220,PPC-Hercules F & V,"",2015-08-03 12:00:00,2015-08-03 12:09:00,"2,325.16",35,2015-08-03 12:20:00,13
545220,PPC-Hercules F & V,"",2015-08-03 17:00:00,2015-08-03 17:00:00,"3,199.28",87,2015-08-03 17:03:00,35
545229,PPC-Hercules F & V,"",2015-08-03 01:00:00,2015-08-03 01:09:00,"6,740.14",91,2015-08-03 01:19:00,35
T12037,PPC-Hercules F & V,"",2015-08-03 05:00:00,2015-08-03 05:10:00,"5,408.67",203,2015-08-03 05:20:00,16
T12037,PPC-Hercules F & V,"",2015-08-03 10:00:00,2015-08-03 10:10:00,"3,983.63",82,2015-08-03 10:19:00,52
T12051,PPC-Hercules F & V,"",2015-08-03 02:00:00,2015-08-03 02:00:00,"5,447.04",206,2015-08-03 02:08:00,16
T12051,PPC-Hercules F & V,"",2015-08-03 12:00:00,2015-08-03 12:11:00,"5,459.83",207,2015-08-03 12:21:00,16
T12063,PPC-Hercules F & V,"",2015-08-03 02:00:00,2015-08-03 02:11:00,"14,718.30",711,2015-08-03 02:20:00,319
