Truck,Date,Income,Contribution,Kms,Blackout Status
D01,2015-02-23,"R2,822.39",R508.03,141,Yes
D02,2015-02-23,"R2,792.03",R502.57,117,Yes
D03,2015-02-23,"R3,040.99",R547.38,226,No
D04,2015-02-23,"R2,831.49",R509.67,166,Yes
D05,2015-02-23,"R2,764.87",R497.68,147,Yes
D06,2015-02-23,"R2,910.82",R523.95,72,Yes
D07,2015-02-23,"R4,106.11",R739.10,339,Yes
D08,2015-02-23,"R4,009.04",R721.63,324,Yes
D09,2015-02-23,"R4,651.77",R837.32,253,No
D10,2015-02-23,"R5,228.46",R941.12,346,Yes
D11,2015-02-23,"R3,320.71",R597.73,178,Yes
D12,2015-02-23,"R3,617.39",R651.13,248,Yes
D13,2015-02-23,"R3,366.93",R606.05,197,Yes
D14,2015-02-23,"R3,718.21",R669.28,282,No
D15,2015-02-23,"R3,726.19",R670.71,284,No
D16,2015-02-23,"R4,209.49",R757.71,299,Yes
D17,2015-02-23,"R5,285.21",R951.34,334,Yes
D18,2015-02-23,"R5,153.85",R927.69,326,Yes
D19,2015-02-23,"R4,077.43",R733.94,150,Yes
D20,2015-02-23,"R4,915.46",R884.78,288,Yes
D21,2015-02-23,"R4,831.88",R869.74,269,No
D22,2015-02-23,"R4,592.59",R826.67,247,No
D23,2015-02-23,"R5,208.49",R937.53,326,Yes
D24,2015-02-23,"R1,992.83",R358.71,29,Yes
D25,2015-02-23,"R3,190.94",R574.37,94,Yes
D26,2015-02-23,"R3,111.84",R560.13,94,No
D27,2015-02-23,"R3,111.84",R560.13,94,No
D28,2015-02-23,"R2,813.02",R506.34,94,Yes
D584,2015-02-23,"R2,948.73",R530.77,94,Yes
D585,2015-02-23,"R2,948.73",R530.77,94,Yes
D586,2015-02-23,"R4,096.27",R737.33,94,No
D587,2015-02-23,"R4,096.27",R737.33,94,No
D588,2015-02-23,"R4,096.27",R737.33,94,Yes
D589,2015-02-23,"R4,096.27",R737.33,94,No
D590,2015-02-23,"R4,096.27",R737.33,94,Yes
D591,2015-02-23,"R4,096.27",R737.33,94,No
D615,2015-02-23,"R2,948.73",R530.77,94,Yes
